id,check,status,blocks_prototype_order,digital_basis_or_limit,evidence,remaining_work
SW01,Both P4 application builds,passed digitally,no,Current SD-integrated pre3/v3 images compile without warnings and fit unchanged OTA slots; no flashing,software/sd-card/evidence/receipt.json,Physical startup on both board revisions pending
SW02,Host logic and sanitizer verification,passed digitally,no,53 CTest targets normal and ASan/UBSan;98 repository checks include CTest; scoped logger/maintenance TSan and deterministic negative controls,software/sd-card/evidence/receipt.json,Host fakes do not prove real peripherals or scheduling
SW03,Portable static analysis,passed digitally,no,22 portable production units; no Clang analyzer diagnostics,software/sd-card/evidence/receipt.json,Not an exhaustive proof of runtime correctness
SW04,Persistent one-sensor selection,passed digitally,no,AO2/JJ identities; explicit selection and replacement gate; no automatic switching,software/oxygen/README.md,Physical cell installation and known-gas functional check pending
SW05,Automatic connector suggestion in known air,missing evidence,no,Both raw inputs shown; suggestion stays manual/inconclusive,software/oxygen/README.md,Exact owned-sensor response bounds and source impedance needed before enabling suggestions
SW06,Calibration isolation and transactional saves,passed digitally,no,Separate identities/profiles; failed capture/save preserves intact record; finite history,software/ota/final-verification/REVIEW.md,Real flash interruption and gas calibration pending
SW07,Atomic acquisition generation and timestamps,passed digitally,no,Per-channel raw timestamps retained; stale generation publication rejected; each O2/He converted value carries its applied revision atomically,software/sd-card/evidence/receipt.json,Physical bus timing and asynchronous service interactions pending
SW08,Gas-composition validation and distinct CO data,passed digitally,no,Impossible gas sums rejected; CO kept distinct from legacy CO2,software/README.md,Physical gas accuracy is unproven
SW09,HTTPS OTA parsing identity size and integrity,passed digitally,no,Production-core fault tests and final image metadata checks,software/ota/final-verification/REVIEW.md,Real network/power interruptions and bootloader rollback pending
SW10,Startup acceptance and maintenance coordination,passed digitally,no,Bounded acceptance;1000 contested timer races in two sanitizer configurations; coordinated writes/shutdown,software/ota/final-verification/REVIEW.md,Aggregate SDK timing and actual device shutdown pending
SW11,Versioned storage migration and capacity,passed digitally,no,Actual ESP storage-init branch injected; no whole-partition erase;24KiB capacity model,software/ota/final-verification/REVIEW.md,Live old-new-rollback and physical NVS page behaviour pending
SW12,Real gauge charger humidity and power adapters,passed digitally,no,Production drivers compiled; transport fault tests; no simulated physical fallback,software/README.md,Actual modules and waveforms remain untested
