ID,Native_UUID,Reference,Pin,PCB_X_mm,PCB_Y_mm,Bore_mm,Net,Type,Bore_overlap_with_paste_mm2,Required_process,Native_flag_note
via299,4a85dc30-3037-4222-be94-396b63231ef1,R125,1,17.95,87.925,0.25,USB_OVP_UVLO,routed signal VIPPO,see independent exported CAM audit,"nonconductive epoxy resin fill, planarize and copper cap both faces; retain original SMT mask/paste",explicit native filling yes / capping yes; coordinate-bound audit separately checks flags
U101.25@28,54bc8f57-5ed8-4529-b1c5-414914b019c1,U101,25,11.9,82.9,0.2,GND,package thermal hole represented as a plated pad,0.031102327331544076,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U101.25@29,e4ecb0fd-46de-43e9-9e0d-9b2b31e3a2e6,U101,25,11.9,84.0,0.2,GND,package thermal hole represented as a plated pad,0.0,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U101.25@30,391e0442-fb4a-427e-b000-55be960bc76b,U101,25,11.9,85.1,0.2,GND,package thermal hole represented as a plated pad,0.031102327331544062,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U101.25@31,dae1696b-bcc5-4b35-b050-705de09a8636,U101,25,13.0,82.9,0.2,GND,package thermal hole represented as a plated pad,0.0,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U101.25@32,f685e1fc-4f48-4058-8428-b30b40526df7,U101,25,13.0,84.0,0.2,GND,package thermal hole represented as a plated pad,0.0,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U101.25@35,159cd6c8-d9ce-4edc-8fce-219cf1acc933,U101,25,13.0,85.1,0.2,GND,package thermal hole represented as a plated pad,0.0,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U101.25@36,8f24e3f9-48bd-4221-91d2-a86ae10c441a,U101,25,14.1,82.9,0.2,GND,package thermal hole represented as a plated pad,0.03110232733154408,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U101.25@37,05a293a1-dae2-46b0-917b-37451d9caf84,U101,25,14.1,84.0,0.2,GND,package thermal hole represented as a plated pad,0.0,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U101.25@38,a230bb3e-b006-4938-b888-7e73f0a9fd13,U101,25,14.1,85.1,0.2,GND,package thermal hole represented as a plated pad,0.03110232733154407,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
via245,b3d6a73a-b389-4126-b3c4-3d28ea9ea384,U115,3,13.6,89.775,0.2,USB_CC_INT_N,routed signal VIPPO,see independent exported CAM audit,"nonconductive epoxy resin fill, planarize and copper cap both faces; retain original SMT mask/paste",explicit native filling yes / capping yes; coordinate-bound audit separately checks flags
via300,a555d98d-877b-4f68-a4b3-9825501d23c9,U115,1,13.6,91.0,0.25,USB_OVP_UVLO,routed signal VIPPO,see independent exported CAM audit,"nonconductive epoxy resin fill, planarize and copper cap both faces; retain original SMT mask/paste",explicit native filling yes / capping yes; coordinate-bound audit separately checks flags
U201.15@18,3cc80371-5665-4457-ac81-8ef0cf637643,U201,15,12.5,60.0,0.2,GND,package thermal hole represented as a plated pad,0.031415138011442925,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U201.15@19,f46ea153-3a88-4aab-8a2b-bbca6da5f524,U201,15,12.5,60.5,0.2,GND,package thermal hole represented as a plated pad,0.031415138011442925,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U201.15@20,c0795945-3276-4346-9cc5-32ddddb64e55,U201,15,12.5,61.0,0.2,GND,package thermal hole represented as a plated pad,0.0,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U201.15@21,2703c475-5178-432e-b929-132a787ca5e9,U201,15,12.5,61.5,0.2,GND,package thermal hole represented as a plated pad,0.031415138011442925,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U201.15@22,d1e197e0-ab20-496b-82e4-0f8a2167d713,U201,15,12.5,62.0,0.2,GND,package thermal hole represented as a plated pad,0.031415138011442925,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U201.15@23,ec2ce9aa-1a4b-4bee-9ef2-815793f788b4,U201,15,13.0,60.0,0.2,GND,package thermal hole represented as a plated pad,0.0,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U201.15@24,72046401-8913-493c-9912-1916d6fa26e1,U201,15,13.0,60.5,0.2,GND,package thermal hole represented as a plated pad,0.0,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U201.15@25,8862aac3-9cfa-4bcf-94fd-2c32c6ac06e8,U201,15,13.0,61.0,0.2,GND,package thermal hole represented as a plated pad,0.0,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U201.15@27,2f17bbb1-4b3d-464c-9dec-da248dcb9907,U201,15,13.0,61.5,0.2,GND,package thermal hole represented as a plated pad,0.0,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U201.15@28,7634bf56-e01a-4bad-a066-6ee16a7196a8,U201,15,13.0,62.0,0.2,GND,package thermal hole represented as a plated pad,0.0,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U201.15@29,fd3a8726-7654-45df-80bf-0e7c2d3571be,U201,15,13.5,60.0,0.2,GND,package thermal hole represented as a plated pad,0.031415138011442925,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U201.15@30,2f93aed7-6311-4616-8de3-401952707d0e,U201,15,13.5,60.5,0.2,GND,package thermal hole represented as a plated pad,0.031415138011442925,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U201.15@31,cbaa5418-0341-417f-a805-28340298bd11,U201,15,13.5,61.0,0.2,GND,package thermal hole represented as a plated pad,0.0,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U201.15@32,5d8a8ea3-91ed-4dc5-8e2f-8cea841318a7,U201,15,13.5,61.5,0.2,GND,package thermal hole represented as a plated pad,0.031415138011442925,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
U201.15@33,3b8bc2e4-0367-4287-8630-a4764ea18153,U201,15,13.5,62.0,0.2,GND,package thermal hole represented as a plated pad,0.031415138011442925,"nonconductive epoxy resin fill, planarize and copper cap both faces; ENIG on exposed caps","represented as plated package pad; fill/cap must be specified by this coordinate list, not inferred from routed-via flags"
