net,J301_pin,Guition_JP1_pin,GPIO,direction,purpose,mechanical_status
I2C_SDA,21,21,28,bidirectional,100 kHz external bus,pitch/mating view/cable unmeasured
I2C_SCL,14,14,29,host output,100 kHz external bus,pitch/mating view/cable unmeasured
CO_UART_TX,12,12,30,host output,"9600 baud, TXU0202 A1",pitch/mating view/cable unmeasured
CO_UART_RX,10,10,31,host input,"9600 baud, TXU0202 A2Y",pitch/mating view/cable unmeasured
POWER_INT_N,19,19,32,host input,active-low button interrupt,pitch/mating view/cable unmeasured
POWER_KILL_N,8,8,33,host open drain,assert low to shut down; release during boot,pitch/mating view/cable unmeasured
HE_ENABLE,17,17,34,host output,default low; GPIO34 JTAG strap caveat,pitch/mating view/cable unmeasured
CHG_INT_N,13,13,49,host input,shared active-low BQ interrupt + permission-absent feedback,pitch/mating view/cable unmeasured
USB_ILIM_AUTH,11,11,50,host output,fail-low source-current permission; fresh rising edge after qualification,pitch/mating view/cable unmeasured
CO_UART_EN,9,9,51,host output,default low until translated supplies valid,pitch/mating view/cable unmeasured
